model,ar,bg,bn,cs,da,de,el,en,es,et,fa,fi,fr,ga,hi,hr,hu,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,sw,th,tk,tr,uk,vi,zh-cn
Mars5,,,,,,,,0.7647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MatchaTTS,,,,,,,,0.4106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeloTTS,,,,,,,,0.6693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metavoice-1B,,,,,,,,0.9504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenVoiceV2,,,,,,,,0.2696,0.0658,,,,0.0403,,,,,,,,,,,,,,,,,,,,,,,,,0.0082
WhisperSpeech,,,,,,,,0.058,,,,,,,,,,,,,,,,,0.2808,,,,,,,,,,,,,
e2-tts,,,,,,,,0.7858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5-tts,,,,,,,,0.7718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook_mms-tts-deu,,,,,,0.8189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook_mms-tts-eng,,,,,,,,0.8389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook_mms-tts-fin,,,,,,,,,,,,0.9473,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook_mms-tts-fra,,,,,,,,,,,,,0.9656,,,,,,,,,,,,,,,,,,,,,,,,,
facebook_mms-tts-hun,,,,,,,,,,,,,,,,,0.7364,,,,,,,,,,,,,,,,,,,,,
facebook_mms-tts-nld,,,,,,,,,,,,,,,,,,,,,,,,0.8195,,,,,,,,,,,,,,
facebook_mms-tts-ron,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9943,,,,,,,,,,,
facebook_mms-tts-rus,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9653,,,,,,,,,,
facebook_mms-tts-swe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4792,,,,,,
facebook_mms-tts-ukr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1198,,
griffin_lim,,,,,,0.989,,0.993,0.9977,,,,0.9851,,,,,0.9804,,,,,,,0.9927,,,0.9959,,,,,,,,0.9823,,
microsoft_speecht5_tts,,,,,,,,0.0424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optispeech,,,,,,,,0.9992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_tts_large_v1,,,,,,,,0.9885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_tts_mini_v0.1,,,,,,,,0.9765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_tts_mini_v1,,,,,,,,0.9831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suno_bark,,,,,,,,0.8355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suno_bark-small,,,,,,,,0.5974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_bg_cv_vits,,0.1369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_bn_custom_vits-female,,,0.9951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_bn_custom_vits-male,,,0.9967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_cs_cv_vits,,,,0.0302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_da_cv_vits,,,,,0.0166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_de_css10_vits-neon,,,,,,0.8471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_de_thorsten_tacotron2-DCA,,,,,,0.1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_de_thorsten_tacotron2-DDC,,,,,,0.9968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_de_thorsten_vits,,,,,,0.9958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_el_cv_vits,,,,,,,0.6326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_blizzard2013_capacitron-t2-c50,,,,,,,,0.4302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_ek1_tacotron2,,,,,,,,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_jenny_jenny,,,,,,,,0.9527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_ljspeech_fast_pitch,,,,,,,,0.3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_ljspeech_glow-tts,,,,,,,,0.0652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_ljspeech_neural_hmm,,,,,,,,0.3049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_ljspeech_overflow,,,,,,,,0.6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_ljspeech_speedy-speech,,,,,,,,0.0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_ljspeech_tacotron2-DCA,,,,,,,,0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_ljspeech_tacotron2-DDC,,,,,,,,0.7614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_ljspeech_tacotron2-DDC_ph,,,,,,,,0.9455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_ljspeech_vits,,,,,,,,0.9887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_ljspeech_vits--neon,,,,,,,,0.9812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_multi-dataset_tortoise-v2,,,,,,,,0.9626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_en_sam_tacotron-DDC,,,,,,,,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_es_css10_vits,,,,,,,,,0.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_es_mai_tacotron2-DDC,,,,,,,,,0.0191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_et_cv_vits,,,,,,,,,,0.4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts_models_fa_custom_glow-tts,,,,,,,,,,,0.0144,,,,,,,,,,,,,,,,,,,,,,,,,,,
