architecture,gender,ar,bg,bn,cs,da,de,el,en,es,et,fa,fi,fr,ga,hi,hr,hu,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,sw,th,tk,tr,uk,vi,zh,zh-cn
Mars5,female,,,,,,,,0.7642901792809751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mars5,male,,,,,,,,0.7659576132813967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MatchaTTS,female,,,,,,,,0.41184109623099346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MatchaTTS,male,,,,,,,,0.40694211388087953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeloTTS,female,,,,,,,,0.6573588582935243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeloTTS,male,,,,,,,,0.7094102125422227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metavoice-1B,female,,,,,,,,0.9533968933729227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metavoice-1B,male,,,,,,,,0.9413172385446271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenVoiceV2,female,,,,,,,,0.2625881320698912,0.14671685541420976,,,,0.04235070661226642,,,,,,,,,,,,,,,,,,,,,,,,,0.007335740836132388,
OpenVoiceV2,male,,,,,,,,0.2936974831238475,0.06299636802894513,,,,0.03605844152663149,,,,,,,,,,,,,,,,,,,,,,,,,0.010701605446008339,
OpenVoiceV2,mix,,,,,,,,,0.02691830609810412,,,,0.045644670622978285,,,,,,,,,,,,,,,,,,,,,,,,,,
WhisperSpeech,female,,,,,,,,0.05767758510363548,,,,,,,,,,,,,,,,,0.2387147979976937,,,,,,,,,,,,,,
WhisperSpeech,male,,,,,,,,0.058833621426512495,,,,,,,,,,,,,,,,,0.308274328512085,,,,,,,,,,,,,,
bark,female,0.8271104465165299,0.809607226355029,0.7935095302467403,0.8237839252023089,0.773096871344681,0.8588114629635653,0.7134165947170585,0.8631745958023107,0.8570548406609841,0.7736695061386667,0.8239227924065163,0.738929357453374,0.8148467351258905,0.777773358933118,0.8683579295048842,,0.8289438851805475,0.876763470347505,0.7635933106298168,0.730895173928949,,,0.8014775903977365,0.7903080661755337,0.8918169915761568,0.772271408728172,0.7300980186948374,0.8640364178809147,0.8051674138016502,,0.8029229287667806,,0.8707796759110582,0.8671800889860932,0.856987690244748,0.8549121095439081,,,0.6372200071123301
bark,male,0.8456913768957361,0.8086429425305419,0.7967593181236226,0.8494519424004986,0.7695945874446473,0.9029969030031006,0.7556210890092765,0.8656778500087284,0.8427180277825337,0.7614860039385246,0.7692259669086725,0.7813668066893626,0.8316583476157359,0.8432542168373656,0.8379839873196033,,0.8054268585867815,0.8483855943979846,0.71731345053256,0.7445698823142447,,,0.8484070292069208,0.7939940030927235,0.9038970574613037,0.8206926100064221,0.8293607475744031,0.8471379599895111,0.8494481911973473,,0.7904354430297884,,0.8875329815411261,0.8975863879932807,0.8760725371924138,0.8568837658173599,,,0.6599834844753398
bark,mix,,,,,,0.8483190233783972,,,0.8692522782979893,,,,0.7929788085572539,,,,,0.8668544487865917,,,,,,,,,,,,,,,,,,,,,
capacitron-t2-c50,female,,,,,,,,0.4384075101697962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacitron-t2-c50,male,,,,,,,,0.4044946542658293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-tts,female,,,,,,,,0.7961651947376881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-tts,male,,,,,,,,0.7565183216648925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5-tts,female,,,,,,,,0.7866629051520737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5-tts,male,,,,,,,,0.7269429054621319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-deu,female,,,,,,0.8025623506870926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-deu,male,,,,,,0.8293152810878408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-deu,mix,,,,,,0.8586693323736028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-eng,female,,,,,,,,0.8401690491032173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-eng,male,,,,,,,,0.8352768034125578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-fin,female,,,,,,,,,,,,0.947441514811769,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-fin,male,,,,,,,,,,,,0.946856378155644,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-fra,female,,,,,,,,,,,,,0.9639675412705349,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-fra,male,,,,,,,,,,,,,0.9638378681777849,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-fra,mix,,,,,,,,,,,,,0.9861941740110323,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-hun,female,,,,,,,,,,,,,,,,,0.7247113830992059,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-hun,male,,,,,,,,,,,,,,,,,0.7733715604536653,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-nld,female,,,,,,,,,,,,,,,,,,,,,,,,0.8130014426770112,,,,,,,,,,,,,,,
facebook/mms-tts-nld,male,,,,,,,,,,,,,,,,,,,,,,,,0.8398522285360666,,,,,,,,,,,,,,,
facebook/mms-tts-ron,female,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9942271750028197,,,,,,,,,,,,
facebook/mms-tts-ron,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994410332540671,,,,,,,,,,,,
