language,count,mean,std,high_conf_ratio
en,36000,0.6110769293320103,0.4539151502030526,0.5410555555555555
de,9000,0.7088770309338439,0.42125415673917777,0.6425555555555555
fr,8000,0.4785182620048987,0.4763503881794314,0.4295
it,8000,0.39195372424739755,0.4555967449413869,0.328375
es,7000,0.5358281084666047,0.47254963777461045,0.482
pl,6000,0.613745759425342,0.44442875709351465,0.524
zh-cn,5000,0.3222765887628995,0.4364196340132459,0.2618
uk,5000,0.48574721697277534,0.4735799063116776,0.429
ru,5000,0.7558424657931196,0.3882059028351538,0.6822
hu,4000,0.6766667363548586,0.4096596021627075,0.568
cs,4000,0.41932671981801367,0.4479001151205025,0.32825
tr,4000,0.37076250734268446,0.4444746540228317,0.297
pt,4000,0.3032512878847162,0.42120087971220876,0.23375
nl,4000,0.5852105680957616,0.43796393257358135,0.47475
ro,3000,0.7661803794964929,0.37824786512583414,0.686
ja,3000,0.36023846410421356,0.43711563106953305,0.281
ar,3000,0.43293639816252777,0.445981177635497,0.3343333333333333
bn,3000,0.928689825003456,0.23371951358477355,0.904
fi,3000,0.6811904576488477,0.42261066306045453,0.6
el,2000,0.6782071445364779,0.422927995938208,0.5975
et,2000,0.5908276566640066,0.4370502928865992,0.483
da,2000,0.3943796852700496,0.4723901141382593,0.361
sv,2000,0.42464916191855284,0.47489385829954905,0.383
sk,2000,0.42629241039828913,0.4746315685626312,0.3855
hi,2000,0.5261515391509479,0.4573895271104771,0.4415
ko,2000,0.42058519449517323,0.45339872832860134,0.336
fa,2000,0.412708206111299,0.47262846703272066,0.3705
ga,2000,0.39957934969421083,0.4741203665327628,0.3665
mt,2000,0.5352989948359969,0.4583296797904222,0.4575
bg,2000,0.4731303335147397,0.4662148351635542,0.406
sl,1000,0.17158541116850484,0.32554812378672376,0.096
lv,1000,0.05288563215577187,0.1884856876247179,0.028
sw,1000,0.47920039656719016,0.413360757644286,0.305
th,1000,0.8748172225679045,0.29094954692814684,0.822
tk,1000,0.8738998810666817,0.29152269913520673,0.813
lt,1000,0.4898084907776665,0.424036610438717,0.331
vi,1000,0.004732898380469805,0.05735302423258064,0.001
hr,1000,0.013453869104146178,0.10011834206388412,0.008
